day,hour,time,time_h,open,open_h,setup,aosetup,telsetup,offsets,wfs,mode,magnitude
20210520,05:13:31,4120,1.1444444444444444,2792,0.7755555555555556,789,558,231,538,FLAO,FLAOAO,13.7100000381
20210520,06:33:15,1861,0.5169444444444444,1233,0.3425,524,277,247,103,FLAO,FLAOAO,14.0
20210526,02:26:05,2839,0.7886111111111112,2041,0.5669444444444445,761,254,507,36,LBTI,FLAOAO,1.78999996185
20210526,03:13:38,539,0.14972222222222223,225,0.0625,313,252,61,0,LBTI,FLAOAO,1.78999996185
20210526,03:23:07,1524,0.42333333333333334,1138,0.3161111111111111,386,213,172,0,LBTI,FLAOAO,13.2100000381
20210526,04:24:45,498,0.13833333333333334,205,0.05694444444444444,293,243,50,0,LBTI,FLAOAO,13.2100000381
20210526,04:33:12,2472,0.6866666666666666,1561,0.4336111111111111,253,201,51,656,LBTI,FLAOAO,15.3000001907
20210526,05:15:15,1284,0.3566666666666667,900,0.25,377,252,125,6,LBTI,FLAOAO,10.0799999237
20210526,05:39:21,2155,0.5986111111111111,1378,0.3827777777777778,763,204,558,13,LBTI,FLAOAO,12.5600004196
20210526,06:15:37,1409,0.3913888888888889,1137,0.31583333333333335,259,201,57,12,LBTI,FLAOAO,8.85000038147
20210526,06:42:13,509,0.1413888888888889,84,0.023333333333333334,425,186,239,0,LBTI,FLAOAO,13.5
20210526,06:56:56,336,0.09333333333333334,142,0.03944444444444444,193,140,53,0,LBTI,FLAOAO,15.5
20210526,07:02:48,654,0.18166666666666667,442,0.12277777777777778,212,148,63,0,LBTI,FLAOAO,15.5
20210526,07:14:53,1747,0.48527777777777775,1291,0.3586111111111111,417,269,147,38,LBTI,FLAOAO,5.36000013351
20210526,07:45:31,557,0.15472222222222223,226,0.06277777777777778,318,196,121,13,LBTI,FLAOAO,7.90000009537
20210526,07:55:02,915,0.25416666666666665,550,0.1527777777777778,344,221,123,20,LBTI,FLAOAO,7.90000009537
20210526,08:13:15,562,0.15611111111111112,216,0.06,331,144,187,14,LBTI,FLAOAO,7.90000009537
20210526,08:22:48,818,0.22722222222222221,425,0.11805555555555555,365,137,227,27,LBTI,FLAOAO,7.90000009537
20210526,08:56:52,2403,0.6675,2120,0.5888888888888889,223,150,73,59,LBTI,FLAOAO,7.90000009537
20210526,09:37:08,432,0.12,233,0.06472222222222222,184,126,57,14,LBTI,FLAOAO,7.90000009537
20210529,06:12:58,788,0.21888888888888888,375,0.10416666666666667,400,317,83,11,FLAO,FLAOAO,7.48000001907
20210529,07:18:57,2312,0.6422222222222222,1732,0.4811111111111111,449,253,196,129,LBTI,FLAOAO,6.84999990463
20210529,07:57:44,711,0.1975,439,0.12194444444444444,272,199,72,0,LBTI,FLAOAO,5.86000013351
20210529,08:13:31,1856,0.5155555555555555,1452,0.4033333333333333,316,258,57,88,LBTI,FLAOAO,5.86000013351
20210529,08:44:44,1820,0.5055555555555555,1490,0.41388888888888886,244,195,49,85,LBTI,FLAOAO,6.84999990463
20210529,09:15:15,1647,0.4575,1325,0.3680555555555556,239,179,60,82,LBTI,FLAOAO,5.86000013351
20210529,09:57:35,1909,0.5302777777777777,1348,0.37444444444444447,472,180,292,88,LBTI,FLAOAO,6.84999990463
20210529,10:29:43,1535,0.4263888888888889,1012,0.2811111111111111,472,201,271,51,LBTI,FLAOAO,5.17999982834
20210529,10:55:45,3327,0.9241666666666667,2885,0.8013888888888889,364,274,90,77,LBTI,FLAOAO,5.17999982834
20210530,07:30:14,2213,0.6147222222222222,1811,0.5030555555555556,375,253,121,27,LBTI,FLAOAO,6.84999990463
20210530,08:07:13,1188,0.33,816,0.22666666666666666,358,223,134,13,LBTI,FLAOAO,6.84999990463
20210530,08:33:48,1077,0.2991666666666667,625,0.1736111111111111,418,242,176,33,LBTI,FLAOAO,6.84999990463
20210530,09:11:39,574,0.15944444444444444,279,0.0775,282,231,50,12,LBTI,FLAOAO,6.84999990463
20210530,09:22:17,724,0.2011111111111111,447,0.12416666666666666,271,219,52,6,LBTI,FLAOAO,5.86000013351
20210530,09:34:36,345,0.09583333333333334,73,0.020277777777777777,272,227,45,0,LBTI,FLAOAO,5.86000013351
20210530,09:46:57,1957,0.5436111111111112,1556,0.43222222222222223,323,227,95,78,LBTI,FLAOAO,5.86000013351
20210530,10:19:56,1038,0.28833333333333333,592,0.16444444444444445,424,219,205,21,LBTI,FLAOAO,8.46000003815
20210530,10:37:36,1036,0.2877777777777778,643,0.1786111111111111,328,204,124,64,LBTI,FLAOAO,5.17999982834
